country,power_index,strength_score,total_aircraft,fighter_aircraft,attack_aircraft,attack_helicopters,total_helicopters,total_naval,submarines,aircraft_carriers,destroyers,frigates,tanks,self_propelled_artillery,towed_artillery,combat_aircraft_ratio,weaponry_index,active_personnel,reserve_personnel,total_military_personnel,labor_force,total_population,reserve_ratio,mil_participation_rate,manpower_index,arms_imports_tiv,arms_exports_tiv,net_arms_trade_tiv,import_dependency_index,defense_industry_index,border_km,coastline_km,coastline_ratio,defense_budget_usd,oil_production_bpd,gdp_current_usd,gdp_per_capita,military_spend_pct_gdp,defense_burden,spend_per_soldier_usd,economic_resilience_index,total_conflict_episodes,interstate_conflict_years,high_intensity_years,years_since_last_interstate,conflict_experience_index
Nigeria,0.6097,0.3376,159.0,14.0,24.0,15.0,69.0,152.0,0.0,0.0,0.0,1.0,330.0,40.0,339.0,0.0881,0.0247,230000.0,0.0,230000.0,113350000.0,236747130.0,0.0,0.002029,0.0218,67000000.0,3000000.0,-64000000.0,0.0121,0.0002,4477.0,853.0,0.16,3900000000.0,1541000.0,252261880141.151,1084.2,0.555,0.0155,16957.0,0.1583,38.0,2.0,15.0,30.0,0.2772
Netherlands,0.6142,0.3321,130.0,0.0,38.0,16.0,67.0,140.0,3.0,0.0,0.0,6.0,18.0,46.0,0.0,0.0,0.0298,44245.0,8510.0,52755.0,10315000.0,17772378.0,0.1923,0.005114,0.0029,360000000.0,392000000.0,32000000.0,0.0681,0.029,1053.0,451.0,0.2999,31791150000.0,70000.0,1214927698572.66,67520.4,1.916,0.0262,602619.0,0.3122,5.0,1.0,0.0,64.0,0.0426
Myanmar,0.6265,0.3168,331.0,70.0,20.0,9.0,86.0,239.0,3.0,0.0,0.0,6.0,1040.0,225.0,1680.0,0.2115,0.0677,228000.0,19000.0,247000.0,22742000.0,57527139.0,0.0833,0.010861,0.0252,222000000.0,0.0,-222000000.0,0.0417,0.0,6522.0,1930.0,0.2283,2815031361.0,7000.0,74068349523.8095,1359.1,6.795,0.038,11397.0,0.1274,304.0,1.0,37.0,57.0,0.3623
Mexico,0.6401,0.3,424.0,2.0,32.0,0.0,173.0,164.0,0.0,0.0,0.0,1.0,0.0,35.0,0.0,0.0047,0.0185,387000.0,98653.0,485653.0,60959000.0,130739927.0,0.2549,0.007967,0.058,46000000.0,1000000.0,-45000000.0,0.008,0.0001,4389.0,9330.0,0.6801,9100000000.0,2101000.0,1856365616165.94,14185.8,0.893,0.0049,18738.0,0.2246,2.0,0.0,0.0,,0.0
Bangladesh,0.6517,0.2857,212.0,41.0,0.0,0.0,67.0,121.0,2.0,0.0,0.0,7.0,320.0,36.0,487.0,0.1934,0.033,204000.0,0.0,204000.0,77355000.0,168697184.0,0.0,0.002637,0.0189,75000000.0,0.0,-75000000.0,0.0136,0.0,4413.0,580.0,0.1162,3340000000.0,13000.0,450119432068.852,2593.4,0.941,0.0074,16373.0,0.1553,21.0,0.0,0.0,,0.0
Portugal,0.6659,0.2681,128.0,28.0,5.0,0.0,36.0,128.0,2.0,0.0,0.0,5.0,34.0,23.0,54.0,0.2188,0.0232,25000.0,23500.0,48500.0,5332100.0,10639726.0,0.94,0.009096,0.0036,61000000.0,18000000.0,-43000000.0,0.0109,0.0013,1224.0,1793.0,0.5943,6760000000.0,12932.0,313271185085.102,29292.2,1.532,0.0216,139381.0,0.2092,36.0,0.0,4.0,,0.0324
Norway,0.6679,0.2656,109.0,0.0,43.0,0.0,34.0,48.0,6.0,0.0,0.0,4.0,36.0,28.0,0.0,0.0,0.025,33440.0,20100.0,53540.0,3042000.0,5509733.0,0.6011,0.0176,0.0039,349000000.0,710000000.0,361000000.0,0.066,0.0525,2566.0,25148.0,0.9074,11189483200.0,2020000.0,483592648313.301,86785.4,2.091,0.0231,208993.0,0.3694,0.0,0.0,0.0,,0.0
South Africa,0.6843,0.2454,181.0,2.0,0.0,10.0,87.0,63.0,3.0,0.0,0.0,4.0,248.0,52.0,434.0,0.011,0.0236,68731.0,29350.0,98081.0,27766000.0,60442647.0,0.427,0.003532,0.0096,30000000.0,27000000.0,-3000000.0,0.005,0.002,5244.0,2798.0,0.3479,2877000000.0,88000.0,401144998373.585,6267.2,0.7,0.0072,29333.0,0.1644,31.0,0.0,8.0,,0.0649
Philippines,0.6993,0.2268,204.0,0.0,17.0,6.0,130.0,127.0,0.0,0.0,0.0,4.0,18.0,12.0,296.0,0.0,0.0191,160000.0,1500000.0,1660000.0,50979000.0,118277063.0,9.375,0.032562,0.3002,238000000.0,0.0,-238000000.0,0.0448,0.0,0.0,36289.0,1.0,6571641011.0,10000.0,461617509782.355,3984.8,1.324,0.0142,3959.0,0.1545,121.0,0.0,21.0,,0.1703
Malaysia,0.7379,0.1791,132.0,25.0,11.0,0.0,45.0,100.0,2.0,0.0,0.0,2.0,48.0,0.0,196.0,0.1894,0.0182,113000.0,51600.0,164600.0,18264000.0,34564810.0,0.4566,0.009012,0.0187,7000000.0,1000000.0,-6000000.0,0.0006,0.0001,2742.0,4675.0,0.6303,5100000000.0,582000.0,422227005428.688,11874.4,0.988,0.0121,30984.0,0.1799,15.0,4.0,0.0,60.0,0.1056
Colombia,0.7551,0.1578,430.0,16.0,24.0,0.0,255.0,213.0,4.0,0.0,0.0,9.0,0.0,6.0,110.0,0.0372,0.0402,429000.0,998000.0,1427000.0,26822000.0,49588357.0,2.3263,0.053203,0.2342,19000000.0,4000000.0,-15000000.0,0.0029,0.0003,6672.0,3208.0,0.3247,15800000000.0,800000.0,418818154879.271,7919.2,3.359,0.0377,11072.0,0.1559,60.0,0.0,11.0,,0.0892
Iraq,0.8115,0.0881,360.0,26.0,36.0,39.0,183.0,67.0,0.0,0.0,0.0,0.0,1188.0,434.0,610.0,0.0722,0.0436,193000.0,0.0,193000.0,12008000.0,42083436.0,0.0,0.016073,0.0177,23000000.0,0.0,-23000000.0,0.0036,0.0,3809.0,58.0,0.015,8000000000.0,4448000.0,279641257615.385,6073.6,2.357,0.0286,41451.0,0.1902,81.0,15.0,32.0,23.0,0.6589
Denmark,0.8198,0.0778,122.0,26.0,19.0,0.0,34.0,50.0,0.0,0.0,0.0,9.0,44.0,19.0,0.0,0.2131,0.0202,21000.0,12000.0,33000.0,3210000.0,5973136.0,0.5714,0.01028,0.001,427000000.0,166000000.0,-261000000.0,0.0809,0.0123,140.0,7314.0,0.9812,14250000000.0,63000.0,424524722037.047,71026.5,2.416,0.0336,431818.0,0.3049,0.0,0.0,0.0,,0.0
Switzerland,0.8396,0.0533,141.0,40.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,134.0,133.0,0.0,0.2837,0.0072,147178.0,0.0,147178.0,5153000.0,8860574.0,0.0,0.028562,0.0126,33000000.0,33000000.0,0.0,0.0055,0.0024,1770.0,0.0,0.0,8372658426.0,300.0,936564198048.516,103998.2,0.718,0.0089,56888.0,0.4074,0.0,0.0,0.0,,0.0
Ethiopia,0.8525,0.0373,104.0,25.0,0.0,7.0,33.0,0.0,0.0,0.0,0.0,0.0,338.0,142.0,469.0,0.2404,0.0123,503000.0,138000.0,641000.0,54470000.0,118550298.0,0.2744,0.011768,0.0784,48000000.0,0.0,-48000000.0,0.0084,0.0,5925.0,0.0,0.0,3720968976.0,0.0,149740297952.986,1133.9,0.651,0.0248,5805.0,0.1363,140.0,8.0,24.0,10.0,0.51
Finland,0.8673,0.019,162.0,53.0,0.0,0.0,27.0,165.0,0.0,0.0,0.0,0.0,200.0,125.0,667.0,0.3272,0.0244,24000.0,870000.0,894000.0,2898000.0,5626414.0,36.25,0.308489,0.165,64000000.0,27000000.0,-37000000.0,0.0115,0.002,2563.0,1250.0,0.3278,8890000000.0,8000.0,298696961297.656,53149.8,2.3,0.0298,9944.0,0.2616,0.0,0.0,0.0,,0.0
Chile,0.8704,0.0152,274.0,45.0,0.0,0.0,86.0,130.0,4.0,0.0,0.0,8.0,386.0,48.0,249.0,0.1642,0.0392,80000.0,40000.0,120000.0,10088000.0,18664652.0,0.5,0.011895,0.0128,14000000.0,8000000.0,-6000000.0,0.0019,0.0006,7801.0,6435.0,0.452,6800000000.0,11000.0,330267137371.592,16709.9,1.578,0.0206,56667.0,0.1795,1.0,0.0,0.0,,0.0
Peru,0.8827,0.0,252.0,15.0,22.0,16.0,112.0,78.0,6.0,0.0,0.0,7.0,355.0,12.0,290.0,0.0595,0.0383,120000.0,386000.0,506000.0,18918000.0,32600249.0,3.2167,0.026747,0.0833,4000000.0,0.0,-4000000.0,0.0,0.0,7062.0,2414.0,0.2547,2552000000.0,118000.0,289221969062.941,8452.4,0.909,0.0088,5043.0,0.1674,24.0,1.0,8.0,31.0,0.2004
