country,gfp_code,power_index,active_personnel,reserve_personnel,total_aircraft,fighter_aircraft,attack_aircraft,attack_helicopters,total_helicopters,total_naval,submarines,aircraft_carriers,destroyers,frigates,tanks,self_propelled_artillery,towed_artillery,defense_budget_usd,oil_production_bpd,labor_force,total_population,coastline_km,border_km
Algeria,ALG,0.4849,130000.0,150000.0,620.0,111.0,42.0,74.0,300.0,111.0,6.0,0.0,0.0,8.0,1485.0,224.0,483.0,25000000000.0,1443000.0,13294000.0,47022473.0,998.0,6734.0
Canada,CAN,0.5269,63500.0,23000.0,354.0,66.0,0.0,0.0,146.0,67.0,4.0,0.0,0.0,12.0,74.0,0.0,0.0,45824959620.0,5688000.0,22868000.0,38794813.0,202080.0,8893.0
Singapore,SNG,0.5272,51000.0,252500.0,235.0,100.0,0.0,20.0,75.0,101.0,6.0,0.0,0.0,6.0,170.0,48.0,89.0,18000000000.0,0.0,3722000.0,6028459.0,193.0,0.0
Greece,GRE,0.5484,142700.0,221350.0,560.0,178.0,0.0,28.0,285.0,186.0,9.0,0.0,0.0,14.0,1344.0,589.0,698.0,8242150000.0,5000.0,4655000.0,10461091.0,13676.0,1110.0
North Korea,NKO,0.5933,1320000.0,560000.0,837.0,341.0,114.0,20.0,205.0,332.0,24.0,0.0,2.0,2.0,4895.0,1300.0,700.0,4750000000.0,0.0,17637000.0,26298666.0,2495.0,1607.0
Argentina,ARG,0.5983,108000.0,12370.0,241.0,23.0,11.0,0.0,96.0,42.0,2.0,0.0,3.0,0.0,362.0,20.0,172.0,993919790.0,807000.0,22286000.0,46994384.0,4989.0,11968.0
Nigeria,NGA,0.6097,230000.0,0.0,159.0,14.0,24.0,15.0,69.0,152.0,0.0,0.0,0.0,1.0,330.0,40.0,339.0,3900000000.0,1541000.0,113350000.0,236747130.0,853.0,4477.0
Netherlands,NTH,0.6142,44245.0,8510.0,130.0,0.0,38.0,16.0,67.0,140.0,3.0,0.0,0.0,6.0,18.0,46.0,0.0,31791150000.0,70000.0,10315000.0,17772378.0,451.0,1053.0
Myanmar,MYA,0.6265,228000.0,19000.0,331.0,70.0,20.0,9.0,86.0,239.0,3.0,0.0,0.0,6.0,1040.0,225.0,1680.0,2815031361.0,7000.0,22742000.0,57527139.0,1930.0,6522.0
Mexico,MEX,0.6401,387000.0,98653.0,424.0,2.0,32.0,0.0,173.0,164.0,0.0,0.0,0.0,1.0,0.0,35.0,0.0,9100000000.0,2101000.0,60959000.0,130739927.0,9330.0,4389.0
